Location	Polarity
AZ	0.12536647072868318
CA	0.05233533971322838
CO	0.1146481431474294
DC	0.10175890822926303
FL	0.08530422468158906
GA	0.08944428192584067
IL	0.09264688646716779
IN	0.12323205882304274
KS	0.1228412645141658
MA	0.17616896359257664
MI	0.08343555990208436
MN	0.16690442966539398
MO	0.1381702360828605
NV	0.09506426451369743
NY	0.07732490487645541
OH	0.07716326325413589
OR	0.1484007239169358
PA	0.0521853039566555
TX	0.051156893093522546
UT	0.12753113109502548
WA	0.10306840625064559
